40011541054716,20
39911541054215,4
40011541054055,حذف
40111541054269,19
40111541054123,17
40111541054031,20
40111541054157,19.5
40111541054276,10
40111541054783,12.5
40111541054407,19.5
40111541054528,12.5
40111541054544,8
40011541054313,10
40111541054378,17.5
115982313441,4
40111541054198,16.5
40111541054065,15.75
40111541054525,17.25
400115410541056,10
40111541054687,18
40011541054848,12
40111541054904,10.5
40011541054438,16.5
40011541054818,10.25
40111541054164,16.75
39911541054602,حذف
40111541054250,16.25
39911541054117,10
39911541054715,حذف
40111541054523,11
40111541054768,15
39911541054685,18
40111541054931,17.5
40111541054658,11.75
40111541054500,14.75
401115410541504,10
401115410541183,10
40111541054838,7.75
40111541054509,18.5
40111541054069,7
39911541054361,2
40111541054393,12
40111541054690,11.25
40011541054249,15.25
40111541054379,19
40111541054017,20
40111541054469,حذف
40111541054047,10
40111541054088,15
40111541054382,15.5
40111541054183,حذف
40111541054577,16.5
40111541054497,18.5
401115410541447,13
40111541054594,15.5
40111541054301,16.5
40111541054778,17.5
40011541054303,حذف
40111541054240,14.5
40111541054030,14.5
39911541054601,5.5
40111541054072,3.25
40111541054235,20
40111541054035,10
40111541054696,20
40111541054034,16
40111541054895,10.5
40111541054207,13
40111541054095,20
40111541054607,18.75
40111541054346,16.5
40111541054126,15.5
40111541054315,13.5
40111541054441,15
40111541054492,10
40111541054749,10.25
40111541054266,14.25
40111541054114,10.5
401115410541098,5.5
40011541054278,7
39911541054373,حذف
40111541054640,حذف
40111541054206,16.75
40111541054165,10
40011541054176,12.5
40011541054870,7
40111541054788,19
40111541054090,4
401115410541134,7
40111541054345,13
40111541054173,14.5
40011541054083,14
401115410541221,حذف
40111541054217,20
40111541054078,19
40111541054408,17.5
40111541054775,18
40111541054053,18.5
40011541054299,11.5
40111541054708,14.5
40111541054620,حذف
40111541054419,16.5
40111541054945,14.25
40111541054109,2.5
40111541054394,13.25
40111541054465,11.5
39911541054628,6
40111541054364,18
401115410541232,14.5
40111541054675,11
39911541054429,حذف
401115410541235,19
40111541054973,14.5
401115410541541,19
40111541054655,10
40111541054764,15
40111541054224,19
39911541054403,حذف
40111541054576,7
39911541054140,حذف
40111541054261,17
401115410541101,10
400115410541059,5.25
400115410541122,7
40111541054522,8
40111541054490,11.5
40111541054389,13.25
40111541054496,12
40111541054954,14
401115410541356,10.5
115982126761,11
39911541054758,حذف
40011541054811,17.25
40111541054098,15
40111541054988,11
40111541054063,20
40111541054287,19.25
40111541054161,7.5
40111541054032,8.5
399115410541019,15
400115410541003,13
40111541054037,13.5
40011541054267,12
115962130571,14
40011541054808,16.5
40111541054448,حذف
40111541054289,14.5
40211541002040,20
40111541054074,10
40011541054142,20
40111541054259,1.5
